FF7 Decompilation Dependency Report
Generated: 2026-04-11 14:18:34
Total functions in call graph: 3382

========================================================================
SECTION 1 – DECOMPILED  (1421 functions)
  Total: 1421 functions
========================================================================
  [sdk_excluded]  (333 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  func_800A12AC                                      2         2
  func_800A1370                                      2         5
  func_800A2894                                      2         0
  func_800A31C0                                      2         0
  func_800A31F8                                      2         0
  func_800A38C8                                      2         2
  func_800A3908                                      2         3
  func_800A3DFC                                      2         3
  func_800A4094                                      2         0
  func_800A4480                                      2         0
  func_800A45D4                                      2         0
  func_800A5208                                      2         1
  func_800A56B0                                      2         0
  func_800A5AD8                                      2         1
  func_800A5C08                                      2         0
  func_800A5FB0                                      2         0
  func_800A5FB4                                      2         2
  func_800A63FC                                      2         0
  func_800A692C                                      2         0
  func_800A71E8                                      2        29
  func_800A7F38                                      2         2
  func_800A82F0                                      2         0
  func_800A8ABC                                      2         0
  func_800A8AF4                                      2         1
  func_800A8E84                                      2         0
  func_800A8FA0                                      2         1
  func_800A9480                                      2         0
  func_800A94D0                                      2         0
  func_800A9520                                      2         0
  func_800A97A8                                      2         0
  func_800A9910                                      2         0
  func_800A9A70                                      2         0
  func_800A9AD0                                      2         0
  func_800A9B04                                      2         0
  func_800A9DB4                                      2         0
  func_800AA32C                                      2         0
  func_800AA8D8                                      2         0
  func_800AB8EC                                      2         0
  func_800ACE14                                      2         0
  func_800AD0FC                                      2         3
  func_800ADE30                                      2         0
  func_800AE42C                                      2         1
  func_800AE4B8                                      2         1
  func_800AE954                                      2         1
  func_800AEB20                                      2         0
  func_800AF1A8                                      2         0
  func_800AF874                                      2         0
  func_800AF96C                                      2         1
  func_800AF9A0                                      2         1
  func_800B0240                                      2         0
  func_800B0794                                      2         1
  func_800B0E5C                                      2         0
  func_800B10AC                                      2         1
  func_800B1304                                      2         0
  func_800B18A8                                      2         1
  func_800B2638                                      2         0
  func_800B2A2C                                      2         0
  func_800B2FD0                                      2         0
  func_800B338C                                      2         0
  func_800B3FFC                                      2         1
  func_800B4E30                                      2         3
  func_800B5314                                      2         4
  func_800B59F4                                      2         4
  func_800B5DD8                                      2         0
  func_800B5FE8                                      2         0
  func_800B6570                                      2         0
  func_800B6724                                      2         4
  func_800B7480                                      2        14
  func_800B86C4                                      2         0
  func_800B888C                                      2         0
  func_800B8D4C                                      2         7
  func_800B90C0                                      2         8
  func_800B962C                                      2         2
  func_800B98F0                                      2         1
  func_800BA938                                      2         1
  func_800BAA00                                      2         1
  func_800BAB60                                      2         0
  func_800BAC70                                      2         0
  func_800BBA0C                                      2         0
  func_800BBA84                                      2         0
  func_800BBC4C                                      2         8
  func_800BBD20                                      2        44
  func_800BFA98                                      2         0
  func_800BFB10                                      2         0
  func_800C03B8                                      2         0
  func_800C1304                                      2         0
  func_800C1490                                      2         0
  func_800C2FD4                                      2         0
  func_800C7924                                      2         1
  func_800C826C                                      2         0
  func_800CEB20                                      2         0
  func_800CF368                                      2         0
  func_800CF5A0                                      2         0
  func_800D4BFC                                      2         0
  func_800D4FA8                                      2         0
  func_800D9F00                                      2         0
  func_800DA214                                      2         0
  func_800DA480                                      2         0
  CdDiskReady                                        1         2
  CdGetDiskType                                      1         5
  CdInit                                             1         5
  CdLastPos                                          1         0
  CdMix                                              1         1
  CloseEvent                                         1         0
  DecDCTin                                           1         1
  DisableEvent                                       1         0
  GPU_cw                                             1         0
  GetDispEnv                                         1         1
  InitCARD2                                          1         0
  InitPAD                                            1         0
  OpenTIM                                            1         0
  PAD_dr                                             1         0
  PAD_init                                           1         0
  ReadTIM                                            1         1
  ResetEntryInt                                      1         0
  ReturnFromException                                1         0
  SetDQA                                             1         0
  SetDQB                                             1         0
  SetGraphDebug                                      1         0
  SetMem                                             1         0
  SetRCnt                                            1         0
  SetTile1                                           1         0
  StartCARD2                                         1         0
  StartPAD                                           1         0
  StopCARD2                                          1         0
  StopCallback                                       1         0
  StopPAD                                            1         0
  UnDeliverEvent                                     1         0
  WaitEvent                                          1         0
  _96_remove                                         1         0
  func_8001146C                                      1         4
  func_80011784                                      1         4
  func_80011860                                      1         5
  func_800119E4                                      1         0
  func_80011AEC                                      1         0
  func_80011BB4                                      1         0
  func_800128B8                                      1         3
  func_80012DB0                                      1         1
  func_800134F4                                      1         0
  func_80013564                                      1         0
  func_800135C0                                      1         0
  func_80013624                                      1         2
  func_80013800                                      1         2
  func_800138EC                                      1         7
  func_800146A4                                      1         3
  func_800148B4                                      1         5
  func_80014B08                                      1         0
  func_80014BE4                                      1         2
  func_80014C44                                      1         0
  func_80014C80                                      1         0
  func_80014E0C                                      1         1
  func_80014E74                                      1         4
  func_800159B0                                      1         0
  func_80015B88                                      1         0
  func_80015C3C                                      1         1
  func_800166C0                                      1         0
  func_80016808                                      1         3
  func_800169B8                                      1         3
  func_80016F90                                      1         3
  func_8001708C                                      1         1
  func_80017E68                                      1         1
  func_80017F38                                      1         1
  func_80018028                                      1        10
  func_80018220                                      1         0
  func_800182FC                                      1         0
  func_800184C0                                      1         4
  func_80018AB0                                      1         0
  func_80018B14                                      1         1
  func_80018C94                                      1         4
  func_80018D4C                                      1         6
  func_80018E18                                      1         1
  func_80018E90                                      1         0
  func_80018ECC                                      1         1
  func_80018FC0                                      1         1
  func_80019064                                      1         1
  func_800190E8                                      1         2
  func_800191A0                                      1         4
  func_80019254                                      1         2
  func_80019338                                      1         0
  func_8001937C                                      1         0
  func_800193F4                                      1         0
  func_80019440                                      1         2
  func_800194BC                                      1         1
  func_80019544                                      1         2
  func_80019690                                      1         2
  func_800197B8                                      1        14
  func_80019978                                      1         0
  func_80019DA0                                      1         0
  func_80019E4C                                      1         0
  func_80019E84                                      1         0
  func_8001A1C8                                      1         1
  func_8001A280                                      1         1
  func_8001A384                                      1         1
  func_8001A3B8                                      1         2
  func_8001A440                                      1         1
  func_8001A4A8                                      1         2
  func_8001A518                                      1         2
  func_8001A684                                      1         1
  func_8001A780                                      1         2
  func_8001A980                                      1         2
  func_8001A9CC                                      1         1
  func_8001AB1C                                      1         1
  func_8001AE08                                      1         0
  func_8001AEE4                                      1         0
  func_8001B4A0                                      1         3
  func_8001B5E4                                      1         3
  func_8001B704                                      1         2
  func_8001B8A8                                      1         0
  func_8001B944                                      1         3
  func_8001BA54                                      1         0
  func_8001BC18                                      1         1
  func_8001C0EC                                      1         0
  func_8001C484                                      1         0
  func_8001C498                                      1         0
  func_8001C4E8                                      1         2
  func_8001C5BC                                      1         3
  func_8001C788                                      1         3
  func_8001D6A8                                      1         6
  func_8001EC70                                      1         5
  func_8001FAAC                                      1         1
  func_8001FBAC                                      1         0
  func_8001FCDC                                      1         0
  func_8001FE6C                                      1         0
  func_8001FF50                                      1         0
  func_8001FF8C                                      1         0
  func_8001FFD4                                      1         0
  func_8002001C                                      1         0
  func_80020B68                                      1         6
  func_80021BAC                                      1         4
  func_80022B5C                                      1        17
  func_80022FE0                                      1         3
  func_8002368C                                      1         1
  func_80023940                                      1         0
  func_80024A04                                      1         2
  func_80025040                                      1         0
  func_80025174                                      1         7
  func_80025310                                      1         0
  func_800254E4                                      1         0
  func_80025514                                      1         2
  func_80025668                                      1         0
  func_80025800                                      1         0
  func_80025988                                      1         0
  func_80025B10                                      1         0
  func_80025B48                                      1         0
  func_80026258                                      1         4
  func_80026408                                      1         1
  func_8002988C                                      1        12
  func_80029998                                      1         0
  func_8002A958                                      1         2
  func_8002BDCC                                      1         1
  func_8002C3A8                                      1         1
  func_8002C8DC                                      1         1
  func_8002D1E4                                      1         1
  func_8002D2D4                                      1         1
  func_8002DA30                                      1         0
  func_8002E1A8                                      1         0
  func_8002FE48                                      1         2
  func_800318BC                                      1         0
  func_80031A70                                      1         0
  func_80032B30                                      1         1
  func_80032C20                                      1         1
  func_80032CE8                                      1         1
  func_80033BE0                                      1         4
  func_80033C20                                      1         1
  func_80034444                                      1         0
  func_80034DB0                                      1         0
  func_800A0000                                      1        29
  func_800A04C4                                      1        20
  func_800A0514                                      1         0
  func_800A0B48                                      1         0
  func_800A0C54                                      1         3
  func_800A0D2C                                      1        13
  func_800A141C                                      1        10
  func_800A16E0                                      1         0
  func_800A1710                                      1         0
  func_800A1DF0                                      1         7
  func_800A1ED4                                      1         0
  func_800A2040                                      1         2
  func_800A21B4                                      1        32
  func_800A22C0                                      1         0
  func_800A283C                                      1         0
  func_800A2974                                      1         4
  func_800A2BF4                                      1         0
  func_800A2DB0                                      1         0
  func_800A2F78                                      1         0
  func_800A304C                                      1         0
  func_800A310C                                      1         0
  func_800A31E8                                      1         0
  func_800A3210                                      1         0
  func_800A3240                                      1         0
  func_800A32C0                                      1         0
  func_800A3304                                      1         8
  func_800A3964                                      1        17
  func_800A3C74                                      1         0
  func_800A3E4C                                      1         3
  func_800A3E9C                                      1         1
  func_800A3EC8                                      1         2
  func_800A4008                                      1         2
  func_800A4080                                      1         1
  func_800A40B8                                      1         2
  func_800A4138                                      1         2
  func_800A41E8                                      1         3
  func_800A4268                                      1         3
  func_800A4350                                      1         3
  func_800A4430                                      1         0
  func_800A4494                                      1         0
  func_800A44A4                                      1         0
  func_800A44B4                                      1         0
  func_800A44C4                                      1         0
  func_800A44D8                                      1         0
  func_800A45C4                                      1         0
  func_800A45E4                                      1         0
  func_800A460C                                      1        82
  func_800A47F8                                      1         0
  func_800A4860                                      1         4
  func_800A4954                                      1         3
  func_800A496C                                      1         0
  func_800A4DDC                                      1         0
  func_800A4F08                                      1         0
  func_800A4F78                                      1         3
  func_800A52A4                                      1         0
  func_800A5348                                      1         1
  func_800A53A8                                      1         3
  func_800A54F0                                      1         3
  func_800A5660                                      1         0
  func_800A5750                                      1         0
  func_800A57C8                                      1         3
  func_800A5970                                      1         0
  func_800A59A0                                      1         0
  func_800A5A20                                      1         0
  func_800A5A94                                      1         0
  func_800A5B88                                      1         1
  func_800A5D00                                      1         1
  func_800A5E0C                                      1         0
  func_800A5E28                                      1         2
  func_800A60D8                                      1         0
  func_800A635C                                      1         0
  func_800A64AC                                      1        10
  func_800A65A4                                      1        11
  func_800A65B0                                      1         0
  func_800A67A8                                      1         1
  func_800A6C3C                                      1         6
  func_800A71F4                                      1         0
